walkers,no-cache,+PWC,+coalescing
0,0.0,0.0,0.0
1,12.5,25.0,50.0
2,25.0,50.0,100.0
3,37.5,75.0,100.0
4,50.0,100.0,100.0
5,62.5,100.0,100.0
6,75.0,100.0,100.0
7,87.5,100.0,100.0
8,100.0,100.0,100.0
9,100.0,100.0,100.0
10,100.0,100.0,100.0
11,100.0,100.0,100.0
12,100.0,100.0,100.0
13,100.0,100.0,100.0
14,100.0,100.0,100.0
15,100.0,100.0,100.0
16,100.0,100.0,100.0
