perturbation,contexts,invalidation,IOVA_random
0.0,100.0,100.0,99.98766054240137
0.01,99.88,99.55,99.98566388190987
0.02,99.76,99.1,99.98334419352227
0.03,99.64,98.65,99.98064923528987
0.04,99.52,98.2,99.97751832297666
0.05,99.4,97.75,99.97388096809043
0.06,99.28,97.3,99.96965529699712
0.07,99.16,96.85,99.96474621621289
0.08,99.04,96.4,99.9590432835014
0.09,98.92,95.95,99.95241823811615
0.1,98.8,95.5,99.94472213630765
0.11,98.68,95.05,99.93578202994141
0.12,98.56,94.6,99.92539711661634
0.13,98.44,94.15,99.91333427889207
0.14,98.32,93.7,99.89932291799144
0.15,98.2,93.25,99.88304897349444
0.16,98.08,92.8,99.86414800495712
0.17,97.96,92.35,99.84219719395962
0.18,97.84,91.9,99.81670610575073
0.19,97.72,91.45,99.78710602840357
0.2,97.6,91.0,99.75273768433654
0.21,97.48,90.55,99.71283708442995
0.22,97.36,90.1,99.66651926925867
0.23,97.24,89.65,99.61275965593289
0.24,97.12,89.2,99.55037268390588
0.25,97.0,88.75,99.47798743064416
0.26,96.88,88.3,99.39401985084157
0.27,96.76,87.85,99.29664128450048
0.28,96.64,87.4,99.18374288468401
0.29,96.52,86.95,99.05289564180538
0.3,96.4,86.5,98.90130573694069
0.31,96.28,86.05,98.72576505358884
0.32,96.16,85.6,98.5225968306727
0.33,96.04,85.15,98.28759666842723
0.34,95.92,84.7,98.01596942659225
0.35000000000000003,95.8,84.25,97.70226300899743
0.36,95.68,83.8,97.34030064231341
0.37,95.56,83.35,96.9231140642852
0.38,95.44,82.9,96.44288107273638
0.39,95.32,82.45,95.8908721799535
0.4,95.2,82.0,95.25741268224331
0.41000000000000003,95.08,81.55,94.53186827840592
0.42,94.96,81.1,93.70266439430036
0.43,94.84,80.65,92.75735146384822
0.44,94.72,80.2,91.68273035060777
0.45,94.6,79.75,90.46505351008904
0.46,94.48,79.3,89.09031788043869
0.47000000000000003,94.36,78.85,87.54466418125836
0.48,94.24,78.4,85.81489350995123
0.49,94.12,77.95,83.88910504234148
0.5,94.0,77.5,81.75744761936436
0.51,93.88,77.05,79.41296281990526
0.52,93.76,76.6,76.85247834990176
0.53,93.64,76.15,74.07748991821539
0.54,93.52,75.7,71.09495026250038
0.55,93.4,75.25,67.91786991753928
0.56,93.28,74.8,64.56563062257952
0.5700000000000001,93.16,74.35,61.06392339492217
0.58,93.04,73.9,57.4442516811659
0.59,92.92,73.45,53.742984534374955
0.6,92.8,73.0,50.0
0.61,92.68,72.55,46.25701546562504
0.62,92.56,72.1,42.55574831883409
0.63,92.44,71.65,38.93607660507779
0.64,92.32,71.2,35.434369377420445
0.65,92.2,70.75,32.08213008246069
0.66,92.08,70.3,28.90504973749959
0.67,91.96,69.85,25.922510081784583
0.68,91.84,69.4,23.147521650098216
0.6900000000000001,91.72,68.94999999999999,20.587037180094715
0.7000000000000001,91.6,68.5,18.242552380635615
0.71,91.48,68.05,16.110894957658523
0.72,91.36,67.6,14.185106490048781
0.73,91.24,67.15,12.45533581874164
0.74,91.12,66.7,10.909682119561293
0.75,91.0,66.25,9.534946489910945
0.76,90.88,65.8,8.317269649392236
0.77,90.76,65.35,7.2426485361517665
0.78,90.64,64.9,6.2973356056996455
0.79,90.52,64.44999999999999,5.46813172159407
0.8,90.4,64.0,4.742587317756674
0.81,90.28,63.55,4.1091278200464965
0.8200000000000001,90.16,63.099999999999994,3.5571189272636135
0.8300000000000001,90.03999999999999,62.65,3.0768859357147966
0.84,89.92,62.2,2.6596993576865864
0.85,89.8,61.75,2.2977369910025613
0.86,89.68,61.3,1.9840305734077501
0.87,89.56,60.85,1.7124033315727722
0.88,89.44,60.4,1.4774031693273055
0.89,89.32,59.95,1.2742349464111595
0.9,89.2,59.5,1.098694263059317
0.91,89.08,59.05,0.9471043581946107
0.92,88.96,58.6,0.816257115315989
0.93,88.84,58.15,0.7033587154995153
0.9400000000000001,88.72,57.699999999999996,0.6059801491584106
0.9500000000000001,88.6,57.25,0.5220125693558388
0.96,88.48,56.800000000000004,0.44962731609411827
0.97,88.36,56.35,0.38724034406710317
0.98,88.24,55.9,0.33348073074133444
0.99,88.12,55.45,0.28716291557003976
1.0,88.0,55.0,0.24726231566347745
