pages,prefetch_off_cold,prefetch_on
0,0.0,0.0
1,3.9210560847676823,39.346934028736655
2,7.688365361336425,63.212055882855765
3,11.307956328284252,77.68698398515703
4,14.785621103378865,86.46647167633873
5,18.12692469220182,91.79150013761011
6,21.337213893344654,95.0212931632136
7,24.421625854427454,96.98026165776815
8,27.385096292630905,98.16843611112658
9,30.232367392896897,98.88910034617578
10,32.967995396436066,99.32620530009146
11,35.59635789168586,99.5913228561536
12,38.121660819385916,99.75212478233337
13,40.547945202980564,99.84965608070225
14,42.879093615118514,99.90881180344455
15,45.11883639059736,99.94469156298523
16,47.270757595695144,99.96645373720975
17,49.33830076344105,99.97965316309893
18,51.324774404002824,99.98765901959133
19,53.23335729900908,99.99251481701124
20,55.067103588277845,99.99546000702375
21,56.82894765709203,99.99724635506503
22,58.52170883184187,99.99832982992098
23,60.14809589154859,99.99898699064013
24,61.71071140248879,99.99938557876466
25,63.212055882855765,99.9996273346828
26,64.65453180412199,99.9997739670593
27,66.0404474355061,99.99986290409136
28,67.37202053769606,99.99991684712809
29,68.65138191173948,99.99994956523375
30,69.88057880877977,99.99996940976796
31,71.06157820609494,99.99998144608637
32,72.19626995468059,99.99998874648253
33,73.28646980341496,99.99999317439662
34,74.33392230464442,99.99999586006228
35,75.34030360583935,99.99999748900085
36,76.30722413178782,99.99999847700202
37,77.23623116161873,99.99999907625504
38,78.12881130477852,99.99999943972036
39,78.98639287992353,99.99999966017322
40,79.81034820053446,99.99999979388464
41,80.6019957709108,99.99999987498471
42,81.362602396059,99.9999999241744
43,82.09338520885068,99.99999995400944
44,82.79551361769495,99.99999997210533
45,83.47011117784135,99.99999998308103
46,84.11825738930794,99.99999998973811
47,84.7409894243116,99.99999999377586
48,85.33930378696498,99.99999999622486
49,85.9141579078955,99.99999999771026
50,86.46647167633873,99.99999999861122
51,86.99712891215741,99.99999999915765
52,87.50697878014175,99.99999999948909
53,87.99683714885433,99.99999999969012
54,88.46748789619376,99.99999999981205
55,88.9196841637666,99.999999999886
56,89.35414956207472,99.99999999993085
57,89.77157932844625,99.99999999995806
58,90.17264143956385,99.99999999997456
59,90.55797768036976,99.99999999998457
60,90.92820467105875,99.99999999999064
61,91.28391485380187,99.99999999999433
62,91.62567744078041,99.99999999999656
63,91.95403932504675,99.99999999999791
64,92.26952595567003,99.99999999999874
65,92.57264217856661,99.99999999999923
66,92.86387304436138,99.99999999999953
67,93.14368458457221,99.99999999999972
68,93.41252455735972,99.99999999999983
69,93.67082316403592,99.9999999999999
70,93.9189937374782,99.99999999999993
71,94.15743340354992,99.99999999999997
72,94.38652371658662,99.99999999999997
73,94.6066312699644,99.99999999999999
74,94.81810828272742,99.99999999999999
75,95.0212931632136,100.0
76,95.21651105058017,100.0
77,95.40407433509557,100.0
78,95.58428315803071,100.0
79,95.75742589194887,100.0
80,95.92377960216338,100.0
81,96.0836104901013,100.0
82,96.23717431928239,100.0
83,96.38471682459536,100.0
84,96.52647410552613,100.0
85,96.6626730039674,100.0
86,96.79353146721392,100.0
87,96.9192588967249,100.0
88,97.0400564832108,100.0
89,97.15611752858155,100.0
90,97.26762775527075,100.0
91,97.3747656034312,100.0
92,97.47770251647728,100.0
93,97.5766032154309,100.0
94,97.6716259625103,100.0
95,97.76292281438343,100.0
96,97.850639865491,100.0
97,97.93491748182875,100.0
98,98.01589052556298,100.0
99,98.09368857083884,100.0
100,98.16843611112658,100.0
101,98.24025275843766,100.0
102,98.30925343472947,100.0
103,98.37554855580501,100.0
104,98.43924420800172,100.0
105,98.50044231795223,100.0
106,98.55924081568877,100.0
107,98.61573379135204,100.0
108,98.67001164575562,100.0
109,98.72216123504643,100.0
110,98.77226600969315,100.0
111,98.82040614802484,100.0
112,98.86665868453326,100.0
113,98.91109763314455,100.0
114,98.95379410565732,100.0
115,98.99481642553664,100.0
116,99.03423023724622,100.0
117,99.07209861129353,100.0
118,99.10848214515605,100.0
119,99.14343906025019,100.0
120,99.17702529509799,100.0
